,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,32196,Hyperliquid,HYPE,hyperliquid,166,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",1000000000.0,336685219.0,999584316.0,False,,11,333931719.0,15079622554.624557,,2025-10-07T15:24:00.000Z,45.15780231893622,674924512.0424243,36.282,-0.29205977,-7.23866592,3.12695712,-4.6868054,10.51257375,15.68806927,15203964563.30975,0.3623,45157802318.94,,2025-10-07T15:24:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-10-07 20:56:28.900509
11,1975,Chainlink,LINK,chainlink,2110,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'interoperability', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'metisdao-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'blast-ecosystem', 'move-vm', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'core-ecosystem', 'x-layer-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'bera-chain-ecosystem', 'unichain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem']",1000000000.0,678099970.4525867,1000000000.0,False,,12,,,,2025-10-07T15:24:00.000Z,22.160126103097344,1427613286.4814112,56.5218,-1.43380456,-2.7183641,5.351416,-1.05890792,14.80765468,58.05870001,15026780855.735903,0.3581,22160126103.1,,2025-10-07T15:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-10-07 20:56:28.900509
12,29470,Ethena USDe,USDe,ethena-usde,225,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem', 'plasma-ecosystem']",,14818501220.254814,14818501220.254814,True,,13,,,,2025-10-07T15:24:00.000Z,1.000100325497812,399105804.51247084,-0.1388,-0.00828054,-0.01819607,-0.0710603,-0.06776113,-0.04801324,-0.05868681,14819987893.766563,0.3531,14819987893.77,,2025-10-07T15:24:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2025-10-07 20:56:28.900509
13,20947,Sui,SUI,sui,787,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3625742933.075554,10000000000.0,False,,14,3625742933.08,12751446856.665325,,2025-10-07T15:24:00.000Z,3.516919729836779,1149324684.1622908,4.2605,-0.77969063,-4.1816554,10.94121866,3.20951523,-6.34749016,19.01245778,12751446856.649689,0.3038,35169197298.37,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
14,512,Stellar,XLM,stellar,758,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",50001806812.0,31975323844.702274,50001786884.69562,False,,15,31531408660.0,12305992773.277363,,2025-10-07T15:24:00.000Z,0.39027729163551306,356183564.2601134,14.6039,-1.12694929,-4.65991769,8.52289992,7.97327756,-12.50331367,33.52702887,12479242789.278845,0.2972,19514569739.47,,2025-10-07T15:24:00.000Z,,,,,,2025-10-07 20:56:28.900509
0,1,Bitcoin,BTC,bitcoin,12414,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19931634.0,19931634.0,False,,1,,,,2025-10-08T07:25:00.000Z,121692.56359662066,81511663462.49449,18.4863,0.19945813,-1.70922398,6.25656837,9.17488666,4.17843571,9.25405915,2425531638129.567,58.3249,2555543835529.03,,2025-10-08T07:25:00.000Z,,,,,,2025-10-08 12:56:46.679044
1,1027,Ethereum,ETH,ethereum,10872,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120703250.5285526,120703250.5285526,True,,2,,,,2025-10-08T07:26:00.000Z,4452.439391868347,57240438548.488525,25.9849,0.08067373,-4.79498273,7.51418743,3.37473067,6.76209623,58.55680521,537423907379.88153,12.923,537423907379.88,,2025-10-08T07:26:00.000Z,,,,,,2025-10-08 12:56:46.679044
2,1839,BNB,BNB,bnb,2790,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing']",,139183890.73,139183890.73,False,,3,,,,2025-10-08T07:26:00.000Z,1304.2709010404476,12023050737.872438,104.5062,0.90098891,4.28003225,29.0336778,48.98255502,61.69858626,94.11859252,181533498572.7323,4.3652,181533498572.73,,2025-10-08T07:26:00.000Z,,,,,,2025-10-08 12:56:46.679044
3,825,Tether USDt,USDT,tether,151126,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,177914235131.0418,181026669414.14813,True,,4,,,,2025-10-08T07:25:00.000Z,1.0003440499771834,201417819409.55075,21.1516,0.00188947,0.00535118,0.01214167,0.01112897,0.02424347,-0.00219416,177975446519.57925,4.2796,181088951635.63,,2025-10-08T07:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-10-08 12:56:46.679044
4,52,XRP,XRP,xrp,1717,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",100000000000.0,59871700035.0,99985791876.0,False,,5,,,,2025-10-08T07:25:00.000Z,2.855136864672707,7292757583.894792,13.264,0.04659023,-3.81317251,0.50208612,-1.23003105,-13.84361324,17.49579275,170941897920.55472,4.1105,285513686467.27,,2025-10-08T07:25:00.000Z,,,,,,2025-10-08 12:56:46.679044
5,5426,Solana,SOL,solana,1014,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,546208887.1619881,611446468.9637493,True,,6,525236893.3,115534532311.58464,,2025-10-08T07:25:00.000Z,219.96652136466483,9257513961.326351,24.4021,0.17217837,-4.48940825,5.13410877,5.62165957,21.90474528,39.00101066,120147668847.48726,2.8891,134497752778.66,,2025-10-08T07:25:00.000Z,,,,,,2025-10-08 12:56:46.679044
6,3408,USDC,USDC,usd-coin,32611,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'xlayer-ecosystem']",,75620730538.04329,75620730538.04329,False,,7,60901219650.23,60888293511.36595,,2025-10-08T07:25:00.000Z,0.9997877523810149,24086836419.73218,22.7615,0.00474954,0.00908206,-0.00719198,-0.04120481,-0.0038118,-0.02347005,75604680218.04068,1.818,75604680218.04,,2025-10-08T07:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-10-08 12:56:46.679044
7,74,Dogecoin,DOGE,dogecoin,1317,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,151261836383.70523,151261836383.70523,True,,8,,,,2025-10-08T07:26:00.000Z,0.246166710871509,4197270950.9892154,2.6971,0.19807656,-5.42937983,5.60125028,6.09516983,4.35742614,35.50798869,37235628742.96107,0.8954,37235628742.96,,2025-10-08T07:26:00.000Z,,,,,,2025-10-08 12:56:46.679044
8,1958,TRON,TRX,tron,1238,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",,94668982752.60051,94668984159.5473,True,,9,94667886298.43,31894730301.928776,,2025-10-08T07:25:00.000Z,0.33691182457992336,984742205.1919408,23.1511,0.00236957,-2.2089889,0.75384768,1.54844227,-0.15669612,15.9281726,31895099710.303932,0.767,31895100184.32,,2025-10-08T07:25:00.000Z,,,,,,2025-10-08 12:56:46.679044
9,2010,Cardano,ADA,cardano,1594,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",45000000000.0,35827299997.723114,44994581886.50792,False,,10,37997904336.0,30965493236.7309,,2025-10-08T07:25:00.000Z,0.8149263433824047,1619874211.6402073,8.2388,0.07511774,-4.91057499,1.46411511,-3.37518224,1.10302259,30.06641202,29196610580.40893,0.7021,36671685452.21,,2025-10-08T07:25:00.000Z,,,,,,2025-10-08 12:56:46.679044
10,32196,Hyperliquid,HYPE,hyperliquid,166,2024-07-15T10:14:50.000Z,"['decentralized-exchange-dex-token', 'defi', 'derivatives', 'layer-1', 'hyperliquid-ecosystem', 'binance-ecosystem', 'binance-listing', 'perp-dex-coins']",1000000000.0,336685219.0,999584316.0,False,,11,333931719.0,15318414125.92207,,2025-10-08T07:25:00.000Z,45.87289333219067,526895969.2399557,-17.8267,0.55227928,-0.15985871,1.71336359,-7.87968541,8.41010088,9.63687393,15444725137.712255,0.3714,45872893332.19,,2025-10-08T07:25:00.000Z,32196.0,Hyperliquid,HYPE,hyperliquid,0x0d01dc56dcaaca66ad901c959b4011ec,2025-10-08 12:56:46.679044
11,29470,Ethena USDe,USDe,ethena-usde,226,2024-02-20T11:05:01.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-labs-portfolio', 'dragonfly-capital-portfolio', 'usd-stablecoin', 'eigenlayer-ecosystem', 'binance-ecosystem', 'binance-listing', 'xlayer-ecosystem', 'plasma-ecosystem']",,14819242230.431454,14819242230.431454,True,,12,,,,2025-10-08T07:25:00.000Z,1.0000777652215571,371224064.831351,-8.4493,-0.00580243,-0.0016053,-0.08630849,-0.07065589,-0.05275998,-0.09828145,14820394652.086811,0.3564,14820394652.09,,2025-10-08T07:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,2025-10-08 12:56:46.679044
12,1975,Chainlink,LINK,chainlink,2112,2017-09-20T00:00:00.000Z,"['platform', 'cosmos-ecosystem', 'defi', 'interoperability', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'tokenized-stock', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'defi-2', 'cross-chain', 'cronos-ecosystem', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'metisdao-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem', 'real-world-assets-protocols', 'zksync-era-ecosystem', 'base-ecosystem', 'linea-ecosystem', 'sei-ecosystem', 'blast-ecosystem', 'move-vm', 'hyperliquid-ecosystem', 'gnosis-chain-ecosystem', 'core-ecosystem', 'x-layer-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'corn-ecosystem', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'tokenized-assets', 'xstocks-ecosystem', 'hyperevm-ecosystem', 'bera-chain-ecosystem', 'unichain-ecosystem', 'wlfi-ecosystem', 'plasma-ecosystem']",1000000000.0,678099970.4525867,1000000000.0,False,,13,,,,2025-10-08T07:25:00.000Z,21.8118090912547,1174674498.0248954,-0.3807,-0.24860775,-5.2441633,2.44135082,-2.84781871,4.88098948,51.45593507,14790587100.297272,0.3557,21811809091.25,,2025-10-08T07:25:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-10-08 12:56:46.679044
13,20947,Sui,SUI,sui,787,2022-07-12T08:03:11.000Z,"['binance-launchpool', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'electric-capital-portfolio', 'a16z-portfolio', 'sui-ecosystem', 'layer-1', 'move-vm', 'cmc-crypto-yearbook-2024-2025', 'made-in-america', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing']",10000000000.0,3625742933.075554,10000000000.0,False,,14,3625742933.08,12628493369.088312,,2025-10-08T07:26:00.000Z,3.4830084763788385,1203061452.8988,8.0645,0.73605416,-3.26322364,7.16965833,2.17196278,-10.91660232,7.84133248,12628493369.072826,0.3037,34830084763.79,,2025-10-08T07:26:00.000Z,,,,,,2025-10-08 12:56:46.679044
14,512,Stellar,XLM,stellar,758,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets-protocols', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",50001806812.0,31978552665.661945,50001786884.69562,False,,15,31531408660.0,11960714453.72633,,2025-10-08T07:25:00.000Z,0.37932699368738987,360871506.7937351,10.2854,-0.14000593,-5.7923737,4.22446017,4.2928066,-16.20672745,30.23058026,12130328245.139414,0.2917,18967035056.93,,2025-10-08T07:25:00.000Z,,,,,,2025-10-08 12:56:46.679044
